GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SETI,com.prueba.SETI.infrastructure.entryPoint.apiRest.request,CreateBranchRequest,6,0,0,0,1,0,1,0,1,0
SETI,com.prueba.SETI.infrastructure.entryPoint.apiRest.request,CreateFranchiseRequest,0,6,0,0,0,1,0,1,0,1
SETI,com.prueba.SETI.infrastructure.entryPoint.apiRest.request,UpdateNameRequest,6,0,0,0,1,0,1,0,1,0
SETI,com.prueba.SETI.infrastructure.entryPoint.apiRest.request,UpdateStockRequest,6,0,0,0,1,0,1,0,1,0
SETI,com.prueba.SETI.infrastructure.entryPoint.apiRest.request,CreateProductRequest,9,0,0,0,1,0,1,0,1,0
SETI,com.prueba.SETI,SetiApplication,8,0,0,0,3,0,2,0,2,0
SETI,com.prueba.SETI.infrastructure.adapter.persistence.adapter,FranchiseRepositoryAdapter,79,0,0,0,13,0,8,0,8,0
SETI,com.prueba.SETI.infrastructure.adapter.persistence.adapter,BranchRepositoryAdapter,98,0,0,0,17,0,10,0,10,0
SETI,com.prueba.SETI.infrastructure.adapter.persistence.adapter,SequenceGeneratorAdapter,45,0,0,0,9,0,7,0,7,0
SETI,com.prueba.SETI.infrastructure.adapter.persistence.adapter,ProductRepositoryAdapter,148,0,0,0,33,0,14,0,14,0
SETI,com.prueba.SETI.domain.useCase.updatenamebranch,UpdateNameBranchUseCase,0,39,1,3,0,6,1,4,0,3
SETI,com.prueba.SETI.infrastructure.helper.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
SETI,com.prueba.SETI.infrastructure.helper.exception,GlobalExceptionHandler,9,0,0,0,4,0,2,0,2,0
SETI,com.prueba.SETI.domain.model.branch,Branch,9,20,0,0,3,7,2,3,2,3
SETI,com.prueba.SETI.domain.model.product,Product,9,23,1,1,3,9,2,4,1,4
SETI,com.prueba.SETI.domain.model.franchise,Franchise,9,20,0,0,3,7,2,3,2,3
SETI,com.prueba.SETI.domain.useCase.deleteproduct,DeleteProductUseCase,0,26,0,0,0,4,0,3,0,3
SETI,com.prueba.SETI.domain.useCase.updatenameproduct,UpdateNameProductUseCase,0,39,1,3,0,6,1,4,0,3
SETI,com.prueba.SETI.domain.useCase.updatenamefranchise,UpdateNameFranchiseUseCase,0,39,1,3,0,6,1,4,0,3
SETI,com.prueba.SETI.infrastructure.adapter.persistence.entity,BranchEntity,36,0,0,0,6,0,8,0,8,0
SETI,com.prueba.SETI.infrastructure.adapter.persistence.entity,ProductEntity,46,0,0,0,7,0,10,0,10,0
SETI,com.prueba.SETI.infrastructure.adapter.persistence.entity,FranchiseEntity,26,0,0,0,5,0,6,0,6,0
SETI,com.prueba.SETI.infrastructure.entryPoint.apiRest.controller,ProductController,155,0,0,0,22,0,17,0,17,0
SETI,com.prueba.SETI.infrastructure.entryPoint.apiRest.controller,FranchiseController,66,0,0,0,10,0,8,0,8,0
SETI,com.prueba.SETI.infrastructure.entryPoint.apiRest.controller,branchController,69,0,0,0,10,0,8,0,8,0
SETI,com.prueba.SETI.infrastructure.entryPoint.apiRest.response,ProductStockResponse,0,18,0,0,0,1,0,1,0,1
SETI,com.prueba.SETI.infrastructure.config,StartupCheck,21,0,0,0,7,0,3,0,3,0
SETI,com.prueba.SETI.domain.useCase.addproduct,AddProductUseCase,0,54,0,0,0,7,0,5,0,5
SETI,com.prueba.SETI.domain.useCase.updatestock,UpdateStockUseCase,0,36,0,2,0,6,0,4,0,3
SETI,com.prueba.SETI.domain.useCase.addbranch,AddBranchUseCase,0,51,0,0,0,7,0,5,0,5
SETI,com.prueba.SETI.domain.useCase.AddFranchise,AddFranchiseUseCase,0,30,0,0,0,4,0,3,0,3
SETI,com.prueba.SETI.domain.useCase.getstocktopfranchise,GetStockTopFranchiseUseCase,1,60,1,1,0,17,1,5,0,5
